Judul,Isi Berita,Kategori
hizbullah luncurkan gelombang baru serangan ke israel dengan 19 operasi,"beirut - hizbullah lebanon mengumumkan para pejuang perlawanan islam melaksanakan lima operasi di lokasi tentara rezim zionis ditempatkan di selatan dan tenggara israel. serangan itu digelar untuk mendukung bangsa palestina yang teguh di jalur gaza dan perlawanan mereka yang berani dan terhormat serta dalam membela lebanon dan bangsanya.dalam serangan terbaru ke israel, hizbullah secara akurat menyerang bagian timur kota al-khayyam dengan sejumlah roket dan mortir.dalam tiga operasi lainnya, hizbullah melakukan serangan rudal ke lokasi pangkalan militer tentara zionis di pangkalan ""jalul alam"", permukiman ""maalot tarshiha"" dan permukiman ""kafr faradim"".perlawanan islam lebanon juga menembakkan sejumlah besar rudal dan pesawat nirawak ke lokasi pasukan kolonial zionis di kota kafr jaladi, dalton, al-manara dan zareit.dalam operasi lainnya, hizbullah menyerang tentara rezim zionis yang ditempatkan di pangkalan angkatan laut ""ras al-naqoura"" dengan beberapa rudal.sementara itu, falam pesan untuk memperingati kesyahidan pemimpin hizbullah hassan nasrallah, hashem safieddine dan komandan perlawanan lainnya, kelompok persahabatan parlemen iran-lebanon pada selasa mengucapkan selamat kepada sheikh naim qassem atas pengangkatannya sebagai pembawa bendera hizbullah.“dalam pertempuran historis antara garis depan perlawanan melawan garis depan pendudukan dan penindasan israel, hizbullah lebanon telah terlibat dalam konfrontasi dengan rezim zionis untuk membela rakyat palestina yang tertindas, terutama anak-anak dan wanita gaza, dan dengan cara ini juga telah menanggung kerugian besar,” papar pernyataan kelompok itu.kelompok itu menyatakan harapan hizbullah akan melanjutkan perlawanannya dan berjuang untuk menghancurkan israel, lebih kuat dari sebelumnya.sambil memuji pengalaman bertahun-tahun sheikh qassem dan perannya yang berpengaruh dalam pembentukan dan stabilitas hizbullah, disebutkan bahwa dia tidak diragukan lagi akan mengangkat posisi kelompok perlawanan dan meneruskan warisan syuhada sayyed hassan nasrallah dan para komandan perlawanan yang mengorbankan nyawa mereka demi lebanon dan al-quds.sheikh qassem diangkat sebagai pemimpin baru hizbullah dan menggantikan hassan nasrallah yang terbunuh dalam serangan udara israel di beirut pada akhir september.dalam pernyataan pada hari selasa, hizbullah mengatakan pengangkatan sheikh qassem dilakukan dengan suara bulat dan dia dipilih untuk menduduki jabatan tersebut karena ""kepatuhannya terhadap prinsip dan tujuan hizbullah.""
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            300.000 warga israel terganggu kesehatan mentalnya sejak 7 oktober 2023
                        
                    
                 
            
                lihat juga: apakah israel ingin menginvasi iran? bisa jadi, tapi sangat berisiko
            (sya)",internasional
"kejati jatim tangkap ronald tannur, kejagung: pelaksanaan putusan ma","jakarta - kejaksaan tinggi (kejati) jawa timur menangkap gregorius ronald tannur (grt) terdakwa kasus penganiayaan terhadap kekasihnya dini sera afriyanti hingga tewas.penangkapan ronald tannur itu dibenarkan kapuspenkum kejaksaan agung (kejagung) harli siregar. “iya benar ronald tannur tadi diamankan sekira pukul 14.40 wib di perumahan victoria regency surabaya,” kata harli, minggu (27/10/2024).harli mengatakan saat ini ronald tanur dibawa ke kejati jawa timur untuk melaksanakan putusan mahkamah agung (ma) yang mana dirinya divonis selama 5 tahun penjara. “saat ini yang bersangkutan sudah dibawa ke kejati jatim untuk pelaksanaan putusan mahkamah agung (ma) ri,” pungkasnya.sebelumnya, ma menjatuhkan hukuman lima tahun penjara terhadap gregorius ronald tannur, pria yang menganiaya kekasihnya hingga meninggal dunia.putusan ma ini sekaligus membatalkan vonis bebas yang diberikan oleh majelis hakim pengadilan negeri (pn) surabaya pada tingkat pertama.“amar putusan: kabul kasasi penuntut umum - batal judex facti, terbukti dakwaan alternatif kedua melanggar pasal 351 ayat (3) kuhp,” tulis ma dalam situs resminya, rabu, 23 oktober 2024.“pidana penjara selama 5 tahun,” bunyi putusan tersebut.adapun majelis hakim yang memutuskan yakni soesilo sebagai ketua majelis, ainal mardhiah dan sutarjo sebagai anggota majelis. putusan ini dikeluarkan pada selasa, 22 oktober 2024.sebagai informasi, dalam perkara ini, ketua majelis halim pn surabaya erintuah damanik membebaskan gregorius ronald tannur dari dakwaan pembunuhan terhadap dini sera afriyanti. hakim menyatakan ronald tannur tidak terbukti secara sah dan meyakinkan melakukan pembunuhan maupun penganiayaan yang menyebabkan tewasnya korban. dia dibebaskan dari segala dakwaan jpu.
            
                lihat juga: mahfuf md bicara zarof ricar bisa jadi pintu masuk bongkar makelar kasus peradilan
            (cip)",nasional
"kolaborasi dengan bumn pangan, mentan amran optimalkan kemandirian pangan nasional","jakarta - menteri pertanian (mentan) andi amran sulaiman menegaskan pentingnya sinergi antara kementerian pertanian (kementan) dan badan usaha milik negara (bumn) pangan guna memperkuat ketahanan pangan nasional.dalam pertemuan koordinasi bersama bumn pangan, mentan amran menggaris bawahi perlunya kolaborasi strategis untuk mengoptimalkan potensi lahan dan produksi bumn dalam memenuhi kebutuhan pangan dalam negeri.“kami ingin membangun kolaborasi yang saling menguntungkan. misalnya, pt sang hyang seri yang memiliki lahan potensial untuk produksi benih padi hingga mencapai 100 ribu ton per tahun dengan nilai mencapai rp3 triliun. potensi ini perlu dioptimalkan melalui kerja sama yang baik,” ujar mentan amran di kantor pusat kementan, jakarta, selasa (29/10/2024).lebih lanjut, mentan amran menegaskan pentingnya memperkuat cadangan pangan nasional melalui sinergi bersama bulog. langkah ini bertujuan menjaga stabilitas stok dan harga, sekaligus meningkatkan kesejahteraan petani. “bulog memiliki peran penting dalam menjaga cadangan pangan. kami ingin memastikan adanya mekanisme off-taker untuk komoditas strategis seperti padi dan jagung, agar petani tetap dalam posisi yang menguntungkan,” katanya.mentan amran juga menyampaikan rencana kerja sama dengan ptpn untuk meningkatkan produksi sawit dan gula nasional. ia meminta agar ptpn menciptakan klaster kebun unggul yang dikelola secara profesional dan berteknologi modern. “ptpn perlu membangun klaster kebun dengan produksi tertinggi, peralatan terbaik, dan tenaga kerja yang terampil. ini bisa menjadi laboratorium besar bagi kita untuk meningkatkan produksi secara efisien,” kata mentan amran.mentan amran menjelaskan bahwa pertemuan ini merupakan langkah lanjutan dari koordinasi bersama menteri bumn erick thohir minggu lalu. pada pertemuan sebelumnya bumn menyatakan kesiapannya dalam memperkuat program cetak sawah kementan di merauke untuk ketahanan pangan nasional.“pertemuan ini adalah langkah operasional dari hasil diskusi kami dengan menteri bumn. kami akan terus melakukan pertemuan rutin untuk memantau dan memastikan langkah-langkah yang diambil efektif dalam meningkatkan kinerja bumn pangan,” ujar mentan amran. dengan sinergi yang terbangun antara kementan dan bumn pangan, mentan amran optimistis bahwa cita-cita presiden prabowo subianto untuk mewujudkan swasembada pangan dalam waktu dekat dapat tercapai.turut hadir dalam pertemuan tersebut perwakilan bumn pangan lainnya, seperti id food, pihc, bulog, dan ptpn.
            
                lihat juga: wamentan sudaryono dorong sumber protein alternatif untuk makan bergizi gratis
            (ars)",nasional
"tom lembong tersangka kasus impor gula, intip harta kekayaannya","jakarta - mantan menteri perdagangan (mendag) thomas trikasih lembong alias ttl telah ditahan kejaksaan agung (kejagung) usai menjadi tersangka kasus dugaan korupsi dalam kegiatan importasi gula di kementerian perdagangan tahun 2015-2016. pria yang akrab disapa  tom lembong  itu tercatat memiliki kekayaan mencapai rp101.486.990.994.jumlah tersebut tercatat pada laporan harta kekayaan penyelenggara negara (lhkpn) yang ia laporkan pada 30 april 2020 saat menjabat kepala badan koordinasi penanaman modal (bkpm).
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            profil tom lembong, mantan anak buah jokowi yang jadi tim sukses anies
                        
                    
                 meski memiliki harta mencapai ratusan miliar, thom lembong tidak memiliki tanah dan bangunan serta alat transportasi dan mesin. hal itu sebagaimana terekam dalam lhkpn-nya. 
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            pendidikan tom lembong, lulusan harvard yang jadi tersangka kasus impor gula
                        
                    
                 dalam catatan kekayaan penyelenggara tersebut, hartanya terdiri dari harta bergerak lainnya senilai rp180.990.000, surat berharga rp94.527.382.000, kas dan setara kas rp2.099.016.322, dan harta lainnya sebesar rp4.766.498.000.dalam lhkpn yang dimaksud, tom lembong memiliki utang sebesar rp86.895.328.
            
                lihat juga: tom lembong tersangka korupsi impor gula, cak imin: saya turut sedih
            (rca)",nasional
gmni yakin kabinet merah putih mampu jalankan semua program prabowo,"jakarta - gerakan mahasiswa nasional indonesia ( gmni ) menaruh harapan besar tercapainya pembangunan bangsa yang lebih baik di tangan pemerintahan prabowo subianto-gibran rakabuming raka. ketua umum gmni immanuel cahyadi optimistis dengan kabinet merah putih dapat menjalankan program-program kerjanya untuk rakyat indonesia.""kabinet merah putih baru saja terbentuk, tentu saja membutuhkan waktu untuk beradaptasi. gmni yakin para menteri dan wakil menteri serta pimpinan kementerian dan lembaga mampu ekstra cepat beradaptasi memahami tugas, pokok dan fungsinya untuk menjalankan visi misi dan program presiden prabowo subianto ,"" kata immanuel dalam keterangan tertulis, senin (28/10/2024). 
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            indonesia gabung brics, prabowo: kita mau berada di mana-mana
                        
                    
                 immanuel yakin pemerintahan baru ini diyakini dapat bekerja cepat untuk mengurus kerumitan birokrasi agar dapat menjalankan program-program untuk kemaslahatan dan kepentingan nasional. bahkan gmni optimistis dengan komposisi kabinet merah putih yang diisi dengan berbagai komponen anak-anak bangsa yang cerdas, handal, dan ahli di bidangnya akan mempunyai bekerja keras.""gmni yakin para menteri dan wakil serta kepala badan dan seluruh jajarannya dapat solid bekerja sama, bergotong-royong, bersatu untuk fokus bekerja keras menjalankan program pemerintah baru,"" imbuhnya.meski demikian, gmni berpesan kepada kabinet merah putih, bahwa rakyat indonesia menaruh harapan besar untuk para menteri untuk mampu melalui berbagai tantangan. mulai dari menangani kkn, ketidakefisienan birokrasi, penegakan hukum serta kepatuhan pembayaran pajak demi memperbesar penerimaan negara untuk kemaslahatan rakyat indonesia.menurutnya bekerja keras di tengah ketidakstabilan kondisi geopolitik bukan hal yang mudah. meski demikian dengan kapasitas l, karakter dan kompetensi anak-anak bangsa di kabinet merah putih, gmni yakin semua tantangan tersebut bisa diatasi.""komposisi kabinet merah putih mencerminkan persatuan nasional anak-anak bangsa yang jejak rekamnya tidak kenal menyerah, memegang teguh disiplin, taat pada pimpinan dan menjalankan kewajiban dengan penuh tanggung jawab demi kepentingan nasional. mereka adalah pengurus rakyat yang menjadi teladan bagi rakyat untuk siap sedia berbakti kepada bangsa dan negara,"" tandasnya. 
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            sritex dinyatakan pailit, ribuan buruh galau khawatir perusahaan ditutup
                        
                    
                 ""kami yakin presiden prabowo subianto mampu memastikan kabinetnya bekerja keras dalam menjalankan program-program yang terkait kedaulatan pangan. pemberantasan judi online, program makanan bergizi gratis, industrialisasi nasional melalui hilirisasi 26 komoditas demi keselamatan serta kesejahteraan rakyat indonesia,"" terangnya.
            
                lihat juga: tiru amerika serikat, istana: ig presiden bukan akun pribadi
            (poe)",nasional
para bos teknologi berbondong-bondong hadiri acara mohammed bin salman di arab saudi,"riyadh -  arab saudi  akan menjadi tuan rumah bagi nama-nama besar di bidang keuangan dan teknologi dunia pada pekan depan. acara ini menjadi tes bagi minat investor terhadap ambisi kerajaan untuk mengubah dirinya menjadi pusat global di tengah meluasnya konflik timur tengah.para eksekutif internasional harus bersaing dengan kawasan yang diguncang ketegangan geopolitik, dengan ancaman konfrontasi militer lebih lanjut antara israel dan iran pada tingkat tertinggi dalam beberapa dekade. mereka akan mendarat di negara yang semakin menghadapi kenyataan bahwa kekayaan minyaknya yang melimpah pun memiliki keterbatasan.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            arab saudi buka sindalah, pulau mewah neom impian pangeran mohammed bin salman
                        
                    
                 namun, mereka yang akan tiba di future investment initiative (fii)—yang sering dijuluki davos di padang pasir—tampaknya tidak gentar, merasakan peluang untuk ikut serta dalam pembangunan kembali ekonomi visi 2030 senilai triliun dolar milik putra mahkota mohammed bin salman. david solomon dari goldman sachs group inc, jane fraser dari citigroup inc, dan larry fink dari blackrock inc telah menjadi pengunjung tetap di pertemuan puncak riyadh dan akan kembali tahun ini.mencerminkan fokus arab saudi pada teknologi dan kecerdasan buatan, mereka akan bergabung dengan nama-nama terkemuka di industri tersebut. presiden alphabet inc ruth porat dan kepala eksekutif tiktok inc shou chew akan berbicara di pertemuan puncak tersebut untuk pertama kalinya. benjamin horowitz, pengusaha teknologi dan salah satu pendiri raksasa modal ventura andreessen horowitz, juga akan hadir.
            
                lihat juga: arab saudi bangun gedung pencakar langit 20 kali lebih tinggi dari empire state",internasional
"9 kolonel dimutasi panglima tni pada oktober 2024, ini nama-namanya","jakarta - sejumlah perwira menengah (pamen) tni berpangkat kolonel dimutasi panglima tni pada pertengahan oktober 2024. salah satunya singgih pambudi arinto yang beralih dari dosen/patun sesko tni menjadi kapoksahli pangdam v/ brawijaya.mutasi tni itu berdasarkan surat keputusan panglima tni nomor kep/1264/x/2024 tanggal 18 oktober 2024. pada ketentuannya, ada sekitar 63 perwira tni yang masuk daftar dari ketiga matra (tni ad, tni al, tni au).melihat nama-nama di dalamnya, ada beberapa di antaranya yang diketahui berpangkat kolonel. siapa saja mereka?
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            3 sosok jenderal bintang 2 bertugas di baharkam polri, nomor 1 berdarah batak
                        
                    
                 daftar kolonel dimutasi panglima tni1. kolonel inf singgih pambudi arinto, s.i.p., m.m. jabatan lama: dosen/patun sesko tnijabatan baru: kapoksahli pangdam v/ brw, 2. kolonel inf denny marantika jabatan lama: paban vi/rendukgar srenum tnijabatan baru: waasrenum panglima tni3. kolonel czi lin nofrianto jabatan lama: pamen denmabesadjabatan baru: kapusada tni4. kolonel inf wimoko, s.e., m.si. 
            
                lihat juga: mutasi tni terbaru, 2 jenderal beralih jadi anak buah kepala bin herindra",nasional
"kehidupan rakyat iran tetap normal meski diserang israel, mengapa?","teheran - kehidupan sehari-hari terus berjalan lancar di seluruh iran setelah pasukan pertahanan udara negara itu berhasil mencegat agresi israel di lokasi militer di provinsi teheran, ilam, dan khuzestan pada dini hari sabtu.ledakan dilaporkan terjadi di beberapa bagian ibu kota iran beberapa jam setelah tengah malam jumat, dengan pasukan keamanan iran mengatakan bahwa ledakan itu disebabkan oleh ""aktivitas pertahanan udara"" negara itu.video yang beredar daring menangkap pertahanan udara iran yang menargetkan ""objek musuh di wilayah udara sekitar provinsi teheran.""meskipun media arus utama melaporkan serangan udara israel yang dibesar-besarkan, warga iran memulai minggu mereka seperti biasa.rekaman dari zona ekonomi khusus pelabuhan imam khomeini di khuzestan menunjukkan perusahaan petrokimia bandar imam (bipc) tidak rusak, tanpa dampak yang terlihat pada fasilitas tersebut.di provinsi ilam, rekaman video juga menangkap suasana yang tenang dan tanpa gangguan.melansir press tv, pemandangan yang sama terjadi di teheran, di mana penduduk terlihat melakukan latihan pagi rutin mereka di taman laleh, tidak terpengaruh oleh klaim israel tentang serangan terhadap lokasi militer iran.organisasi penerbangan sipil iran mengumumkan bahwa penerbangan telah dilanjutkan setelah gangguan singkat.rekaman dari bandara mehrabad di teheran barat menunjukkan operasi berjalan normal, dengan penumpang bergerak seperti biasa.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            takut iran akan balas dendam, as klaim tak terlibat dalam serangan israel
                        
                    
                 
            
                lihat juga: apakah israel ingin menginvasi iran? bisa jadi, tapi sangat berisiko",internasional
wamentan sudaryono ajak milenial berperan dalam ketahanan pangan nasional di era digital,"jakarta - wakil menteri pertanian (wamentan) sudaryono mengajak generasi milenial untuk aktif menciptakan solusi inovatif di sektor pertanian guna memperkuat ketahanan pangan nasional.wamentan sudaryono atau yang akrab disapa mas dar ini menyatakan bahwa generasi milenial memiliki potensi besar dalam membawa perubahan melalui pemanfaatan teknologi digital.“kita hidup di era di mana teknologi informasi dan komunikasi dapat menjadi alat yang sangat efektif dalam meningkatkan produktivitas pertanian. saya mengajak milenial untuk terlibat dalam berbagai program dan inisiatif yang mendukung ketahanan pangan nasional,” ujar wamentan dalam keterangannya di jakarta, senin (28/10/2024).wamentan sudaryono juga menekankan pentingnya kolaborasi antara pemerintah, pelaku industri, dan generasi muda. menurutnya, sektor pertanian membutuhkan tidak hanya tenaga kerja, tetapi juga inovasi dalam pengelolaan sumber daya, pemasaran, dan distribusi produk.“kita perlu menciptakan platform digital yang dapat memfasilitasi interaksi antara petani dan konsumen, serta mendukung usaha kecil dan menengah di bidang pertanian,” tambahnya.melalui adanya semangat kolaboratif dan pemanfaatan teknologi, wamentan optimistis bahwa milenial dapat menjadi pilar dalam mencapai ketahanan pangan yang berkelanjutan dan menghadapi tantangan pangan di masa depan.menurutnya, jumlah petani di indonesia saat ini didominasi oleh kalangan orang tua. berdasarkan data badan pusat statistik (bps), sebanyak 38,02 persen petani adalah generasi baby boomers berusia 41-56 tahun. sementara untuk petani muda hanya mencapai 21,93 persen, atau sekitar 6,2 juta orang.minimnya petani muda atau petani milenial menjadi perhatian serius kementerian pertanian karena menyangkut masa depan pangan di indonesia. oleh karena itu, pihaknya meluncurkan berbagai program untuk meningkatkan jumlah petani muda.""untuk mengatasi permasalahan tersebut, kementerian pertanian mendorong pertumbuhan petani muda melalui program duta petani milenial (dpm) sebanyak 2,5 juta hingga tahun 2024. kemudian program lain seperti, duta petani andalan (dpa), penerapan digitalisasi pertanian (pdp) dan penumbuhan wirausaha muda pertanian (pwmp), serta program petani magang ke luar negeri,"" kata mas dar yang merupakan anak petani asal grobogan, jawa tengah ini.berdasarkan peraturan menteri pertanian no. 04 tahun 2019, petani milenial adalah mereka yang berusia 19 hingga 39 tahun dan adaptif terhadap teknologi digital. program ini bertujuan untuk memulihkan perekonomian masyarakat pertanian, menumbuhkan semangat kewirausahaan, serta meningkatkan produksi pangan dan peternakan.
            
                lihat juga: cagub sulteng ahmad ali targetkan kantongi 200 ribu lebih suara di parigi moutong",nasional
"jet siluman f-35 israel dilaporkan mengebom iran, serang 4 sistem rudal s-300, 4 tentara tewas","teheran -  jet-jet tempur siluman f-35  israel dilaporkan mengebom target di atas teheran,  iran, untuk pertama kalinya pada hari sabtu. empat baterai  sistem rudal s-300  pelindung situs nuklir diserang dan korban tewas bertambah menjadi empat tentara.pengerahan jet tempur f-35 itu diungkap sumber  israel  kepada iran international, minggu (27/10/2024). sedangkan militer zionis merilis video pengerahan jet tempur f-15 dan f-16 dalam serangan ke iran.namun, staf umum angkatan bersenjata iran mengatakan pesawat-pesawat israel menggunakan wilayah udara yang disediakan oleh militer as di irak untuk meluncurkan beberapa rudal jarak jauh yang diluncurkan dari udara ke beberapa radar perbatasan di provinsi ilam, khuzestan, dan sekitar provinsi teheran.israel melancarkan serangan udara pada sabtu dini hari sebagai balasan atas serangan rudal teheran pada 1 oktober, yang disebut iran sebagai respons atas pembunuhan israel terhadap kepala hamas ismail haniyeh di teheran, kepala hizbullah hassan nasrallah di beirut, dan seorang jenderal korps garda revolusi islam (irgc).serangan udara israel hanya menargetkan situs dan fasilitas militer iran, menyusul upaya amerika serikat (as) selama berminggu-minggu untuk mencegah zionis menargetkan infrastruktur nuklir dan energi di iran dalam upaya untuk menghindari eskalasi konflik lebih lanjut di wilayah yang bergejolak itu.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            israel ancam serang iran lebih dahsyat jika nekat membalas
                        
                    
                 presiden as joe biden pada sabtu mengatakan tampaknya israel hanya menyerang target militer dalam serangannya terhadap iran, dan bahwa dia berharap itu adalah ""akhir”.tasnim news melaporkan korban tewas akibat serangan israel bertamah menjadi empat tentara iran. itu termasuk dua perwira yang bekerja di unit rudal.""empat baterai pertahanan udara s-300 yang berada di lokasi strategis dan melindungi teheran serta fasilitas nuklir dan energi di iran diserang,"" tulis axios mengutip sumber israel , mengonfirmasi laporan sebelumnya oleh the new york times tentang penargetan israel terhadap sistem pertahanan buatan rusia tersebut.laporan tersebut juga mengatakan bahwa 12 “planetary mixer” yang merupakan komponen penting dalam program rudal balistik iran diserang dalam serangan udara israel. ""planetary mixer digunakan untuk memproduksi bahan bakar padat bagi rudal balistik jarak jauh, dan penghancurannya sangat merusak kemampuan iran untuk memperbarui persediaan rudalnya,"" imbuh laporan axios.
            
                lihat juga: perbandingan kekuatan militer iran vs indonesia",internasional
