Judul,Isi Berita,Tanggal Berita,Kategori
Kejagung Beberkan Peran Tom Lembong di Kasus Impor Gula,"JAKARTA - Kejaksaan Agung (Kejagung) menetapkan Menteri Perdagangan periode 2015-2016 Thomas Trikasih Lembong (TTL) alias  Tom Lembong  sebagai tersangka kasus dugaan korupsi impor gula. Kejagung menilai, Tom Lembong menyalahi aturan berupa pemberian izin kepada pihak swasta untuk melakukan impor gula. Awalnya, Kejagung menyebutkan pada Mei 2015 Indonesia mengalami surplus gula. Dengan demikian, tidak diperlukan melakukan impor gula. ""Akan tetapi pada tahun yang sama yaitu 2015 tersebut Menteri Perdagangan yaitu saudara TTL memberikan persetujuan impor gula kristal mentah sebanyak 105 ribu ton kepada PT AP yang kemudian gula kristal mentah tersebut diolah menjadi gula kristal putih (GKP),"" kata Direktur Penyidikan Jampidsus Kejagung Abdul Qohar saat konferensi pers, Selasa (29/10/2024). Kejagung menilai tindakan TTL tersebut menyalahi Keputusan Menteri Perdagangan dan Perindustrian Nomor 527 Tahun 2004. Dalam keputusan tersebut, tertulis bahwa yang diperbolehkan melakukan impor gula hanya BUMN. 
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Breaking News! Tom Lembong Tersangka Kasus Impor Gula
                        
                    
                 ""Berdasarkan persetujuan impor yang telah dikeluarkan oleh tersangka TTL, impor gula tersebut dilakukan oleh PT AP dan impor gula kristal mentah tersebut tidak melalui rapat koordinasi dengan instansi terkait serta tanpa adanya rekomendasi dari kementerian perindustrian guna mengetahui kebutuhan riil gula di dalam negeri,"" ujarnya. Sebelumnya, Tim Penyidik Jaksa Agung Muda Tindak Pidana Khusus (Jampidsus) Kejaksaan Agung (Kejagung) RI menetapkan Menteri Perdagangan (Mendag) 2015-2016, TTL alias Thomas Trikasih Lembong dan Direktur Pengembangan Bisnis PT Perusahaan Perdagangan Indonesia (PPI) berinisial CS. 
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Senyum Tom Lembong Pakai Rompi Tahanan Kejagung
                        
                    
                 Hal itu disampaikan langsung Direktur Penyidik Jampidsus Kejagung RI Abdul Qohar pada Selasa (29/10/2024) malam. ""Penyidik Jaksa Agung Muda Tindak Pidana Khusus Kejaksaan Agung RI menetapkan status saksi terhadap dua orang menjadi tersangka karena telah memenuhi alat bukti bahwa yang bersangkutan telah melakukan tindak pidana korupsi,"" kata Abdul Qohar.""Adapun kedua tersangka tersebut adalah satu TTL selaku Menteri Perdagangan periode 2015-2016 berdasarkan surat penetapan tersangka Nomor TAP-60/F:/FD:/10/2024 tanggal 29 Oktober 2024. Kedua tersangka atas nama DS selaku Direktur Pengembangan Bisnis PT PPI 2015-2016 berdasarkan surat penetapan tersangka Nomor TAP-60/F:/FD:/10/2024 tanggal 29 Oktober 2024,"" jelasnya.
            
                Lihat Juga: Lembong Terjerat Hukum karena Berikan Perizinan Impor saat Surplus Gula
            (rca)","Selasa, 29 Oktober 2024 - 22:02 WIB",nasional
"Prabowo Larang Menteri Pakai Mobil Impor, Mobil Dinas Harus Maung","JAKARTA - Presiden  Prabowo Subianto  meminta semua anggota Kabinet Merah Putih tidak menggunakan mobil impor, dan memilih mobil buatan dalam negeri. Awalnya, Prabowo mengungkapkan bahwa dia ingin menggunakan kendaraan Maung sebagai kendaraan resmi kenegaraannya.Sebab dia bangga bisa menggunakan produksi mobil dalam negeri. ""Kehormatan bangsa, kebanggaan, sebaiknya kita bisa pakai produk kita sendiri,"" kata Prabowo dalam keterangan resmi yang dibagikan pada Senin (28/10/2024).Prabowo, mengatakan ia telah merencanakan tidak hanya presiden saja yang bisa menggunakan Maung Garuda, melainkan juga Menteri/Wakil Menteri, Gubernur/Wali Kota agar sebagai bentuk kehormatan dan kebanggaan atas produksi bangsa sendiri.
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Malam Ini Abraham Silaban di AB+ BERSAMA PRESIDEN PRABOWO, MAUNG GARUDA PERKASA, Hanya di iNews
                        
                    
                 ""Jadi saya sudah merencanakan kemungkinan besar nanti semua menteri, semua wakil menteri, dirjen, pejabat mungkin tingkat gubernur bupati walikota sebaiknya menggunakan kendaraan buatan bangsa Indonesia sendiri,"" katanya.Seperti diketahui, kendaraan Maung Garuda produksi PT Pindad Bandung, Jawa Barat ini telah beberapa kali digunakan Prabowo dalam berbagai kesempatan acara kenegaraan pascaresmi dilantik sebagai Presiden RI.Prabowo berangkat dari kediaman menuju Gedung MPR/DPR RI iring-iringan dengan mobil Maung Garuda jenis MV3 dengan total delapan mobil dan senada semua berwarna putih.Kemudian, ketika Prabowo mengantarkan kepulangan Presiden ke-7 RI Jokowi menuju Lanud Halim Perdanakusuma untuk kembali ke Solo juga menggunakan kendaraan yang sama.Pada saat menghadiri Retreat Kabinet Merah Putih, Prabowo juga gunakan kendaraan Maung Garuda itu untuk menyapa warga Magelang di sepanjang jalan Akademi Militer, Magelang, Jawa Tengah.
            
                Lihat Juga: Prabowo Diminta Merangkul Orang-orang Optimistis, Bukan Pesimistis","Senin, 28 Oktober 2024 - 17:54 WIB",nasional
"Instruksikan Menteri Gunakan Maung, Logis 08: Terobosan Prabowo di Awal Pemerintahan","JAKARTA - Presiden terpilih Prabowo Subianto kembali membuat terobosan di awal pemerintahannya. Prabowo secara tegas menginstruksikan kepada seluruh anggota Kabinet Merah Putih untuk menggunakan Mobil Maung sebagai kendaraan dinas resmi. Ketua Umum Partai Gerindra itu pun secara tegas meminta kepada para anggota kabinetnya agar penggunaan kendaraan impor dihentikan demi mendukung industri otomotif nasional. Ketua Umum Dewan Pimpinan Pusat (DPP) Logis 08 Anshar Ilo mengatakan kebijakan Presiden Prabowo Subianto itu adalah sebuah terobosan besar di awal pemerintahan 100 hari kerja Kabinet Merah Putih. 
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Presiden Prabowo Arahkan Kabinet Pakai Mobil Buatan Lokal, Toyota Bilang Gini
                        
                    
                 ""Dukungan Pak Prabowo kepada dunia otomotif nasional seperti penggunaan Mobil Maung buatan PT Pindad adalah sebuah terobosan besar di awal pemerintahan,"" kata Ketua Umum DPP Logis 08 Anshar Ilo, Rabu (30/10/2024).Menurut Anshar, Prabowo telah menunjukkan komitmennya sebagai kepala negara dan kepala pemerintahan yang pro terhadap prodak lokal. Sebagai nasionalis dan patriot sejati ia selalu bangga dengan prodak buatan anak bangsa.
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Prabowo Larang Menteri Pakai Mobil Impor, Mobil Dinas Harus Maung
                        
                    
                 ""Pak Prabowo itu tipe pemimpin yang selalu konsisten dengan apa yang dia sampaikan. Soal cintai produk anak negeri sudah dia gaungkan sejak lama, dari Pilpres 2014 sampai 2019, Pak Prabowo sudah menyuarakan soal hal itu,"" ujarnya. Ketua Dewan Pimpinan Pusat (DPP) Prabowo Mania 08 itu pun berharap semua anggota Kabinet Merah Putih dapat meneladani sikap kenegarawanan dari seorang Prabowo Subianto. ""Saya kira para jajaran menteri, wamen, kepala badan, utusan khusus, dan semua yang terkait dengan Kabinet Merah Putih perlu meneladani sikap Pak Prabowo,"" ucapnya.
            
                Lihat Juga: Mensesneg Pastikan Anggota Kabinet Merah Putih Pakai Mobil Dinas Maung, Bukan Sewa
            (cip)","Rabu, 30 Oktober 2024 - 19:45 WIB",nasional
"7 Fakta Ipda Rudy Soik, Perwira Polisi yang Dipecat Diduga Karena Mengungkap Mafia BBM","JAKARTA -  Ipda Rudy Soik , Anggota Polda Nusa Tenggara Timur (NTT), menjadi pembicaraan publik setelah dikenai sanksi pemberhentian tidak dengan hormat (PTDH) alias dipecat. Rudy Soik dipecat karena dituding melakukan sejumlah pelanggaran etik.Belakangan beredar kabar bahwa pemecatan Rudy Soik terkait pengungkapan jaringan mafia Bahan Bakar Minyak (BBM) di wilayah hukum Polda NTT. Tak hanya dipecat, rumah Rudy Soik di Kelurahan Bakunase I, Kota Kupang, NTT juga digrebek oleh Provos pada 21 Oktober 2021. Kubu Rudy Soik juga menyebut ada benda yang pesawat tanpa pilot atau drone berputar-putar di atas rumahnya.Atas peristiwa tersebut, Ipda Rudy Soik mendatangi Lembaga Perlindungan Saksi dan Korban (LPSK), Kamis (24/10/2024), untuk mengajukan permohonan perlindungan. Rudy datang bersama tiga pengacaranya.
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Ipda Rudy Soik Sangkal Kena OTT di Tempat Karaoke saat Jam Dinas: Tidak Ada Putusan Itu
                        
                    
                 ""Karena memang kita memerlukan perlindungan dari pihak lain. Klien kami secara pribadi dan keluarga merasa perlu ke LPSK terkait beberapa peristiwa yang sudah terjadi,"" kata kuasa hukum Rudy, Ferdy Maktaen kepada wartawan, Kamis (24/10/2024).Sementara tu, Kapolda NTT Irjen Pol Daniel Tahi Silitonga menyebut, Ipda Rudy Soik telah memjadikan tempat karoke sebagai analisa dan evaluasi (anev) dalam rangka pengusutan BBM ilegal. Daniel menyebut Rudy sengaja menangkap orang yang diduga pelaku BBM ilegal.""Jadi pagi tertangkap, sore langsung membuat surat perintah, mengajukan kepada Kapolres yang inisiatif sendiri mengajukan kepada Kapolres, surat perintah penyidikan terhadap mafia BBM,"" kata Daniel saat RDPU bersama Komisi III DPR di ruang rapat Komisi III DPR, Kompleks Parlemen, Senayan, Jakarta Pusat, Senin (28/10/2024). Majelis hakim sidang KEPP mengungkap tindakan pengusutan terhadap BBM ilegal untuk menutupi Rudy dari pelanggaran kode etik yakni berkaroke saat jam dinas bersama Polwan.Fakta Ipda Rudy Soik, Perwira Polda NTT Dipecat Akibat Mengungkap Mafia BBM1. Lulusan Master HukumRudy memulai pendidikan formalnya di SD Yupenkris Kefamenanu, dilanjutkan ke SMP Katolik Xaverius Kefamenanu, dan SMA Kristen Wonosobo, Jawa Tengah. Ia kemudian menempuh pendidikan S1 di Universitas Nusa Cendana Jurusan Hukum, diikuti dengan gelar S2 di universitas yang sama.Pendidikan yang kuat ini membekalinya dengan pengetahuan yang diperlukan dalam tugas kepolisian. Rudy Soik memulai pendidikan kepolisian melalui Pendidikan Bintara Polri Diktukba di Sekolah Polisi Negara (SPN) Kupang pada 2004, dan melanjutkan pendidikan perwira di Sekolah Pembentukan Perwira (Setukpa) Polri SIP angkatan 50 pada 2021 di Megamendung, Bogor.2. Pemecatan KontroversialRudy Soik menjadi sorotan publik setelah diberhentikan dari jabatannya secara tidak terhormat. Pemecatan ini kontroversial karena informasi yang beredar luas lantaran karena pengungkapan jaringan mafia BBM. Hal ini mengundang perhatian masyarakat tentang bagaimana anggota kepolisian diperlakukan ketika berani melawan praktik ilegal.3. Mengungkap Jaringan Mafia BBMRudy disebut mengungkap jaringan mafia BBM ilegal di wilayah NTT. Hal itu menunjukkan integritas Rudy Soik dalam menegakkan hukum di tengah lingkungan yang kompleks dan penuh risiko, di mana banyak orang mungkin memilih untuk diam.4. Memiliki Karier Panjang di KepolisianRudy memulai kariernya di Satuan Intelkam Polres Kupang pada 2004. Sejak saat itu, ia menjabat di berbagai posisi, termasuk di Satuan Reskrim Polresta Kupang dan Ditkrimsus Polda NTT. Pengalamannya di berbagai posisi ini membekalinya dengan pengetahuan praktis dan teoritis yang luas dalam penegakan hukum, serta kemampuan untuk menangani berbagai jenis kasus.5. Mempunyai Pengalaman Satgas Human TraffickingDari 2014 hingga 2016, Rudy ditugaskan di Satgas Human Trafficking Polda NTT. Dalam perannya ini, ia berfokus pada pemberantasan perdagangan manusia, sebuah isu yang sangat serius dan memerlukan perhatian khusus. Dedikasinya dalam menangani kasus-kasus kemanusiaan menunjukkan komitmennya terhadap perlindungan masyarakat yang rentan.6. Menangani Kasus PembunuhanRudy juga menyelidiki kasus pembunuhan yang melibatkan seorang pemilik lahan seluas 200 hektare di Kota Kupang. Kasus ini menunjukkan kemampuannya untuk menangani situasi yang kompleks dan berpotensi berbahaya, serta komitmennya dalam membawa keadilan bagi korban.7. Menangani Kasus BesarSelama masa tugasnya, Rudy berhasil mengungkap sejumlah kasus penting, termasuk peredaran uang dolar Amerika Serikat palsu yang melibatkan tersangka Jimmy King, serta kasus korupsi dana Program Indonesia Pintar (PIP) di Dinas Pendidikan Timor Tengah Selatan. Pengungkapan kasus-kasus ini mencerminkan kemampuannya untuk mengidentifikasi dan menangani kejahatan yang merugikan masyarakat.Itulah 7 fakta Ipda Rudy Soik, perwira polisi yang dipecat diduga karena mengungkap mafia BBM.Mg/Salwa Puspita
            
                Lihat Juga: Profil Lengkap Rahayu Saraswati, Keponakan Prabowo yang Bela Ipda Rudy Soik
            (abd)","Senin, 28 Oktober 2024 - 17:52 WIB",nasional
Bendum Perindo Angkie Yudistia Terima Penghargaan Youth Humanitarian Award,"JAKARTA - Bendahara Umum (Bendum) Partai Perindo  Angkie Yudistia  meraih penghargaan Youth Humanitarian Award 2024 yang digelar oleh Human Initiative. Angkie yang juga Staf Khusus Presiden RI periode 2019-2024 ini meraih penghargaan dalam kategori individu. Ditemui seusai penyerahan penghargaan, Angkie menyampaikan terima kasih kepada pihak penyelenggara. Dengan raihan penghargaan ini menurutnya, menjadi bukti nyata bahwa generasi muda bisa berkembang seluas-luasnya asal ada keinginan dan keyakinan. ""Ini adalah penghargaan ke-22 sepanjang karier saya dan saya meyakinkan diri sebagai generasi muda untuk menjadi social entrepreneur, ini menjadi bukti nyata bahwa generasi muda bisa berkembang dan memberikan dampak seluas-luasnya,"" kata Angkie di Hotel Bidakara Jakarta, Selasa (29/10/2024). 
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            10 Tahun Partai Perindo, Angkie: Kami Rekrut Sebanyak-banyaknya Penyandang Disabilitas
                        
                    
                 ""Terlebih ini penghargaan untuk teman-teman disabilitas yang jumlahnya 22,9 juta jiwa di seluruh Indonesia, ini saatnya disabilitas setara,"" sambungnya. Kendati demikian, Angkie menegaskan tidak berpuas diri dengan adanya penghargaan tersebut. ""Harapannya adalah untuk tidak berhenti di sini, 25 tahun itu bukan penjalanan yang gampang mudah dan sebentar masih banyak masyarakat yang membutuhkan kepanjangan tangan,"" ujarnya.
            
                Lihat Juga: Bank Jatim Sabet Platinum Award-Best Issuer Bank (ATM) di Ajang Prima Awards 2024
            (rca)","Selasa, 29 Oktober 2024 - 21:53 WIB",nasional
"Kehidupan Rakyat Iran Tetap Normal Meski Diserang Israel, Mengapa?","TEHERAN - Kehidupan sehari-hari terus berjalan lancar di seluruh Iran setelah pasukan pertahanan udara negara itu berhasil mencegat agresi Israel di lokasi militer di provinsi Teheran, Ilam, dan Khuzestan pada dini hari Sabtu.Ledakan dilaporkan terjadi di beberapa bagian ibu kota Iran beberapa jam setelah tengah malam Jumat, dengan pasukan keamanan Iran mengatakan bahwa ledakan itu disebabkan oleh ""aktivitas pertahanan udara"" negara itu.Video yang beredar daring menangkap pertahanan udara Iran yang menargetkan ""objek musuh di wilayah udara sekitar provinsi Teheran.""Meskipun media arus utama melaporkan serangan udara Israel yang dibesar-besarkan, warga Iran memulai minggu mereka seperti biasa.Rekaman dari Zona Ekonomi Khusus Pelabuhan Imam Khomeini di Khuzestan menunjukkan Perusahaan Petrokimia Bandar Imam (BIPC) tidak rusak, tanpa dampak yang terlihat pada fasilitas tersebut.Di provinsi Ilam, rekaman video juga menangkap suasana yang tenang dan tanpa gangguan.Melansir Press TV, pemandangan yang sama terjadi di Teheran, di mana penduduk terlihat melakukan latihan pagi rutin mereka di Taman Laleh, tidak terpengaruh oleh klaim Israel tentang serangan terhadap lokasi militer Iran.Organisasi Penerbangan Sipil Iran mengumumkan bahwa penerbangan telah dilanjutkan setelah gangguan singkat.Rekaman dari Bandara Mehrabad di Teheran barat menunjukkan operasi berjalan normal, dengan penumpang bergerak seperti biasa.
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Takut Iran Akan Balas Dendam, AS Klaim Tak Terlibat dalam Serangan Israel
                        
                    
                 
            
                Lihat Juga: Apakah Israel ingin Menginvasi Iran? Bisa Jadi, Tapi Sangat Berisiko","Sabtu, 26 Oktober 2024 - 17:10 WIB",internasional
GMNI Yakin Kabinet Merah Putih Mampu Jalankan Semua Program Prabowo,"JAKARTA - Gerakan Mahasiswa Nasional Indonesia ( GMNI ) menaruh harapan besar tercapainya pembangunan bangsa yang lebih baik di tangan pemerintahan Prabowo Subianto-Gibran Rakabuming Raka. Ketua Umum GMNI Immanuel Cahyadi optimistis dengan Kabinet Merah Putih dapat menjalankan program-program kerjanya untuk rakyat Indonesia.""Kabinet Merah Putih baru saja terbentuk, tentu saja membutuhkan waktu untuk beradaptasi. GMNI yakin para menteri dan wakil menteri serta pimpinan kementerian dan lembaga mampu ekstra cepat beradaptasi memahami tugas, pokok dan fungsinya untuk menjalankan visi misi dan program Presiden Prabowo Subianto ,"" kata Immanuel dalam keterangan tertulis, Senin (28/10/2024). 
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Indonesia Gabung BRICS, Prabowo: Kita Mau Berada di Mana-mana
                        
                    
                 Immanuel yakin pemerintahan baru ini diyakini dapat bekerja cepat untuk mengurus kerumitan birokrasi agar dapat menjalankan program-program untuk kemaslahatan dan kepentingan nasional. Bahkan GMNI optimistis dengan komposisi Kabinet Merah Putih yang diisi dengan berbagai komponen anak-anak bangsa yang cerdas, handal, dan ahli di bidangnya akan mempunyai bekerja keras.""GMNI yakin para menteri dan wakil serta kepala badan dan seluruh jajarannya dapat solid bekerja sama, bergotong-royong, bersatu untuk fokus bekerja keras menjalankan program pemerintah baru,"" imbuhnya.Meski demikian, GMNI berpesan kepada Kabinet Merah Putih, bahwa rakyat Indonesia menaruh harapan besar untuk para menteri untuk mampu melalui berbagai tantangan. Mulai dari menangani KKN, ketidakefisienan birokrasi, penegakan hukum serta kepatuhan pembayaran pajak demi memperbesar penerimaan negara untuk kemaslahatan rakyat Indonesia.Menurutnya bekerja keras di tengah ketidakstabilan kondisi geopolitik bukan hal yang mudah. Meski demikian dengan kapasitas l, karakter dan kompetensi anak-anak bangsa di Kabinet Merah Putih, GMNI yakin semua tantangan tersebut bisa diatasi.""Komposisi Kabinet Merah Putih mencerminkan persatuan nasional anak-anak bangsa yang jejak rekamnya tidak kenal menyerah, memegang teguh disiplin, taat pada pimpinan dan menjalankan kewajiban dengan penuh tanggung jawab demi kepentingan nasional. Mereka adalah pengurus rakyat yang menjadi teladan bagi rakyat untuk siap sedia berbakti kepada bangsa dan negara,"" tandasnya. 
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Sritex Dinyatakan Pailit, Ribuan Buruh Galau Khawatir Perusahaan Ditutup
                        
                    
                 ""Kami yakin Presiden Prabowo Subianto mampu memastikan kabinetnya bekerja keras dalam menjalankan program-program yang terkait kedaulatan pangan. Pemberantasan judi online, program makanan bergizi gratis, industrialisasi nasional melalui hilirisasi 26 komoditas demi keselamatan serta kesejahteraan rakyat Indonesia,"" terangnya.
            
                Lihat Juga: Tiru Amerika Serikat, Istana: IG Presiden Bukan Akun Pribadi
            (poe)","Senin, 28 Oktober 2024 - 16:35 WIB",nasional
Ipda Rudy Soik Sangkal Kena OTT di Tempat Karaoke saat Jam Dinas: Tidak Ada Putusan Itu,"JAKARTA - Ipda Rudy Soik membantah dirinya bersalah lantaran berkaraoke saat jam dinas bersama tiga polisi lainnya. Dia menyangkal pernyataan Kapolda Nusa Tenggara Timur (NTT) Irjen Daniel Tahi Monang Silitonga yang menyebut dirinya telah terjaring operasi tangkap tangan (OTT) saat jam dinas di tempat karaoke.Diketahui,  Ipda Rudy Soik  dijatuhi sanksi pemberhentian tidak dengan hormat (PTDH) alias pemecatan usai mengungkap dugaan mafia bahan bakar minyak (BBM) ilegal. ""Yang pasti kan tidak ada putusan yang mengatakan saya berkaraoke,"" kata Rudy usai rapat dengar pendapat (RDP) Komisi III DPR di Kompleks Parlemen, Senayan, Jakarta, Senin (28/10/2024).Namun, Rudy tak membahas lebih detail lagi terkait pernyataan Daniel. Ia hanya menegaskan, putusan Komisi Kode Etik Profesi Polri (KKEP Polri) tak memuat dirinya bersalah lantaran berkaraoke.
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Benny K Harman Minta Pemecatan Ipda Rudy Soik Dibahas Bareng Kapolri
                        
                    
                 ""Yang pasti kan tidak ada putusan yang mengatakan saya berkaraoke, tidak ada putusan itu, coba nanti dilihat bisa dikonfirmasi. Coba perlihatkan putusan petitum putusan, tidak ada seperti itu,"" terang Rudy.""Hanya itu saja dan memang yang disampaikan seperti itu, tapi faktanya kan harusnya faktanya yang diperlihatkan,"" ucap Rudy.Diketahui sebelumnya, Kapolda NTT Irjen Daniel Tahi Silitonga mengungkap Ipda Rudy Soik sempat terjerat OTT saat jam dinas bersama tiga oknum polisi. Bahkan, keempatnya kepergok saling duduk berpasangan sambil menenggak minuman berakohol di tempat karoke.
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Kapolda NTT Usap Kepala Ipda Rudy Soik di DPR: Anak Ayam Itu Ada di Tangan Kamu
                        
                    
                 Hal itu diungkap oleh Daniel saat RDP bersama Komisi III DPR di ruang rapat Komisi III DPR RI, Kompleks Parlemen, Senayan, Jakarta Pusat, Senin (28/10/2024). Mulanya, ia mengaku tak mengenal Ipda Rudy Soik.
            
                Lihat Juga: Ipda Rudy Soik di-PTDH, Prof Henry Dukung Rekomendasi DPR","Senin, 28 Oktober 2024 - 17:25 WIB",nasional
Senyum Tom Lembong Pakai Rompi Tahanan Kejagung,"JAKARTA - Mantan Menteri Perdagangan Thomas Trikasih Lembong ( Tom Lembong ) langsung ditahan Kejaksaan Agung (Kejagung) usai ditetapkan sebagai tersangka kasus dugaan korupsi dalam kegiatan importasi gula di Kementerian Perdagangan Tahun 2015-2016. Mantan Co-Captain Tim Nasional Pemenangan Anies Baswedan-Muhaimin Iskandar (Tim Amin) ini mengenakan rompi tahanan Kejagung.Rompi warna merah muda itu bertuliskan Tahanan Tindak Pidana Korupsi Kejaksaan Agung RI. Selain Tom, Kejagung juga menetapkan Direktur Pengembangan Bisnis PT Perusahaan Perdagangan Indonesia (PPI) CS sebagai tersangka dan melakukan penahanan.Penetapan tersangka disampaikan oleh Direktur Penyidik Jampidsus Kejagung RI Abdul Qohar di Kejagung, Jakarta pada Selasa (29/10/2024) malam. Pantauan di lokasi, tersangka CS keluar terlebih dahulu dengan nomor 24 dalam kondisi tangan terborgol. 
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Profil Tom Lembong, Mantan Anak Buah Jokowi yang Jadi Tim Sukses Anies
                        
                    
                 Disusul Thomas Lembong dengan nomor 62 hanya menebar senyum ke awak media tanpa sepatah kata pun. Keduanya digelandang ke dalam mobil tahanan Kejagung.Sebelumnya, Tim Penyidik Jaksa Agung Muda Tindak Pidana Khusus (Jampidsus) Kejagung menetapkan Thom Lembong dan CS sebagai tersangka. Hal itu disampaikan langsung Direktur Penyidik Jampidsus Kejagung Abdul Qohar pada Selasa (29/10/2024) malam.
                
                    Baca Juga
                    
                        
                    
                        
                    
                        
                            Breaking News! Tom Lembong Tersangka Kasus Impor Gula
                        
                    
                 ""Penyidik Jaksa Agung Muda Tindak Pidana Khusus Kejaksaan Agung RI menetapkan status saksi terhadap dua orang menjadi tersangka karena telah memenuhi alat bukti bahwa yang bersangkutan telah melakukan tindak pidana korupsi,"" kata Abdul Qohar.""Adapun kedua tersangka tersebut adalah satu TTL selaku Menteri Perdagangan periode 2015-2016 berdasarkan surat penetapan tersangka Nomor TAP-60/F:/FD:/10/2024 tanggal 29 Oktober 2024. Kedua tersangka atas nama DS selaku Direktur Pengembangan Bisnis PT PPI 2015-2016 berdasarkan surat penetapan tersangka Nomor TAP-60/F:/FD:/10/2024 tanggal 29 Oktober 2024,"" jelasnya.
            
                Lihat Juga: Pendidikan Tom Lembong, Lulusan Harvard yang Jadi Tersangka Kasus Impor Gula
            (rca)","Selasa, 29 Oktober 2024 - 21:31 WIB",nasional
"Rancang Program Tambak Rakyat, Pasangan BERAMAL Didukung Nelayan dan Penjual Ikan di Donggala","DONGGALA - Pasangan Calon Gubernur (cagub) dan Calon Wakil Gubernur (cawagub) Sulawesi Tengah (Sulteng) nomor urut 1, Ahmad HM Ali-Abdul Karim Al Jufri menggelar kampanye terbatas di Desa Boneoge, Kecamatan Banawa, Kabupaten Donggala, Rabu (30/10/2024) sore.Ahmad Ali dan Abdul Karim disambut antusias warga. Bahkan, sejumlah nelayan dan penjual ikan se-Kabupaten Donggala melakukan deklarasi dukungan kepada pasangan yang populer dengan tagline BERAMAL (Bersama Ahmad Ali-Abdul Karim).Para nelayan memberikan dukungan karena percaya pasangan Ahmad Ali dan Abdul Karim Al Jufri bisa membawa kesetaraan pembangunan ekonomi di Sulawesi Tengah.Dukungan masyarakat yang menggantungkan hidup dari hasil laut itu bukan tanpa alasan. Pasangan yang didukung oleh Partai Gerindra, Nasdem, Golkar, PKB, Perindo, PPP, PAN, PSI, Prima, dan PKN itu memang punya program yang pro pekerja informal, termasuk para nelayan.""Untuk para nelayan dan petani, kami punya program jaminan sosial untuk pekerja informal. Yang melaut, jika terjadi apa-apa di laut akan ada santunan. Profesi nelayan itu penting, tanpa nelayan kita tidak bisa makan ikan. Makanya mereka harus kita sejahterakan,"" ujar Abdul Karim Al Jufri dalam orasi politiknya.Pria yang akrab disapa AKA itu pun mengungkap, salah satu program yang akan dikerjakan oleh pasangan BERAMAL jika terpilih sebagai gubernur dan wakil gubernur adalah melahirkan tambak rakyat untuk meningkatkan taraf hidup masyarakat pesisir pantai.""Untuk meningkatkan hasil tangkap, kita akan siapkan alat tangkap modern, perahu modern, pabrik es. Kemudian, saat hasil tangkap sudah meningkat, kita siapkan cold storage untuk menyimpan hasil tangkapan. Kita akan siapkan industri, pabrik yang akan menyerap tenaga kerja agar taraf hidup masyarakat sulteng bisa meningkat,"" katanya.Sementara itu, Ahmad Ali memperagakan cara mencoblos surat suara di hadapan masyarakat yang hadir. Dia mengimbau agar masyarakat tidak salah mencoblos.Ahmad Ali pun mengajak agar seluruh masyarakat ikut memperjuangkan kemenangan calon gubernur nomor urut 1, agar semua program pro rakyat dapat diimplementasikan.""Kami yakin bisa menang di sini atas dukungan masyarakat,"" ujar Ahmad Ali.
            
                Lihat Juga: Mentan Gandeng Perguruan Tinggi Dorong Inovasi Teknologi Pertanian untuk Swasembada Pangan
            (skr)","Rabu, 30 Oktober 2024 - 19:19 WIB",nasional
