Judul_cleaned,Isi_cleaned,Kategori
"['hizbullah', 'luncurkan', 'gelombang', 'serangan', 'israel', 'operasi']","['beirut', 'hizbullah', 'lebanon', 'mengumumkan', 'pejuang', 'perlawanan', 'islam', 'melaksanakan', 'operasi', 'lokasi', 'tentara', 'rezim', 'zionis', 'ditempatkan', 'selatan', 'tenggara', 'israel', '.', 'serangan', 'digelar', 'mendukung', 'bangsa', 'palestina', 'teguh', 'jalur', 'gaza', 'perlawanan', 'berani', 'terhormat', 'membela', 'lebanon', 'bangsanya.dalam', 'serangan', 'terbaru', 'israel', 'hizbullah', 'akurat', 'menyerang', 'timur', 'kota', 'alkhayyam', 'roket', 'mortir.dalam', 'operasi', 'hizbullah', 'serangan', 'rudal', 'lokasi', 'pangkalan', 'militer', 'tentara', 'zionis', 'pangkalan', 'jalul', 'alam', 'permukiman', 'maalot', 'tarshiha', 'permukiman', 'kafr', 'faradim.perlawanan', 'islam', 'lebanon', 'menembakkan', 'rudal', 'pesawat', 'nirawak', 'lokasi', 'pasukan', 'kolonial', 'zionis', 'kota', 'kafr', 'jaladi', 'dalton', 'almanara', 'zareit.dalam', 'operasi', 'hizbullah', 'menyerang', 'tentara', 'rezim', 'zionis', 'ditempatkan', 'pangkalan', 'angkatan', 'laut', 'ras', 'alnaqoura', 'rudal.sementara', 'falam', 'pesan', 'memperingati', 'kesyahidan', 'pemimpin', 'hizbullah', 'hassan', 'nasrallah', 'hashem', 'safieddine', 'komandan', 'perlawanan', 'kelompok', 'persahabatan', 'parlemen', 'iranlebanon', 'selasa', 'selamat', 'sheikh', 'naim', 'qassem', 'pengangkatannya', 'pembawa', 'bendera', 'hizbullah', '.', 'pertempuran', 'historis', 'garis', 'perlawanan', 'melawan', 'garis', 'pendudukan', 'penindasan', 'israel', 'hizbullah', 'lebanon', 'terlibat', 'konfrontasi', 'rezim', 'zionis', 'membela', 'rakyat', 'palestina', 'tertindas', 'anakanak', 'wanita', 'gaza', 'menanggung', 'kerugian', 'papar', 'pernyataan', 'kelompok', 'itu.kelompok', 'harapan', 'hizbullah', 'melanjutkan', 'perlawanannya', 'berjuang', 'menghancurkan', 'israel', 'kuat', 'sebelumnya.sambil', 'memuji', 'pengalaman', 'bertahuntahun', 'sheikh', 'qassem', 'perannya', 'berpengaruh', 'pembentukan', 'stabilitas', 'hizbullah', 'diragukan', 'mengangkat', 'posisi', 'kelompok', 'perlawanan', 'meneruskan', 'warisan', 'syuhada', 'sayyed', 'hassan', 'nasrallah', 'komandan', 'perlawanan', 'mengorbankan', 'nyawa', 'lebanon', 'alquds.sheikh', 'qassem', 'diangkat', 'pemimpin', 'hizbullah', 'menggantikan', 'hassan', 'nasrallah', 'terbunuh', 'serangan', 'udara', 'israel', 'beirut', 'september.dalam', 'pernyataan', 'selasa', 'hizbullah', 'pengangkatan', 'sheikh', 'qassem', 'suara', 'bulat', 'dipilih', 'menduduki', 'jabatan', 'kepatuhannya', 'prinsip', 'tujuan', 'hizbullah', '.', 'baca', '.', 'warga', 'israel', 'terganggu', 'kesehatan', 'mentalnya', 'oktober', 'lihat', ':', 'israel', 'menginvasi', 'iran', 'berisiko', 'sya']",internasional
"['kejati', 'jatim', 'tangkap', 'ronald', 'tannur', 'kejagung', ':', 'pelaksanaan', 'putusan', 'ma']","['jakarta', 'kejaksaan', 'kejati', 'jawa', 'timur', 'menangkap', 'gregorius', 'ronald', 'tannur', 'grt', 'terdakwa', 'penganiayaan', 'kekasihnya', 'sera', 'afriyanti', 'tewas.penangkapan', 'ronald', 'tannur', 'dibenarkan', 'kapuspenkum', 'kejaksaan', 'agung', 'kejagung', 'harli', 'siregar', '.', 'iya', 'ronald', 'tannur', 'diamankan', 'sekira', '.', 'wib', 'perumahan', 'victoria', 'regency', 'surabaya', 'harli', 'minggu', '.harli', 'ronald', 'tanur', 'dibawa', 'kejati', 'jawa', 'timur', 'melaksanakan', 'putusan', 'mahkamah', 'agung', 'ma', 'divonis', 'penjara', '.', 'bersangkutan', 'dibawa', 'kejati', 'jatim', 'pelaksanaan', 'putusan', 'mahkamah', 'agung', 'ma', 'ri', 'pungkasnya.sebelumnya', 'ma', 'menjatuhkan', 'hukuman', 'penjara', 'gregorius', 'ronald', 'tannur', 'pria', 'menganiaya', 'kekasihnya', 'meninggal', 'dunia.putusan', 'ma', 'membatalkan', 'vonis', 'bebas', 'majelis', 'hakim', 'pengadilan', 'negeri', 'pn', 'surabaya', 'tingkat', '.', 'amar', 'putusan', ':', 'kabul', 'kasasi', 'penuntut', 'batal', 'judex', 'facti', 'terbukti', 'dakwaan', 'alternatif', 'melanggar', 'pasal', 'ayat', 'kuhp', 'tulis', 'ma', 'situs', 'resminya', 'rabu', 'oktober', '.', 'pidana', 'penjara', 'bunyi', 'putusan', 'tersebut.adapun', 'majelis', 'hakim', 'memutuskan', 'soesilo', 'ketua', 'majelis', 'ainal', 'mardhiah', 'sutarjo', 'anggota', 'majelis', '.', 'putusan', 'dikeluarkan', 'selasa', 'oktober', '.sebagai', 'informasi', 'perkara', 'ketua', 'majelis', 'halim', 'pn', 'surabaya', 'erintuah', 'damanik', 'membebaskan', 'gregorius', 'ronald', 'tannur', 'dakwaan', 'pembunuhan', 'sera', 'afriyanti', '.', 'hakim', 'ronald', 'tannur', 'terbukti', 'sah', 'pembunuhan', 'penganiayaan', 'menyebabkan', 'tewasnya', 'korban', '.', 'dibebaskan', 'dakwaan', 'jpu', '.', 'lihat', ':', 'mahfuf', 'md', 'bicara', 'zarof', 'ricar', 'pintu', 'masuk', 'bongkar', 'makelar', 'peradilan', 'cip']",nasional
"['kolaborasi', 'bumn', 'pangan', 'mentan', 'amran', 'optimalkan', 'kemandirian', 'pangan', 'nasional']","['jakarta', 'menteri', 'pertanian', 'mentan', 'andi', 'amran', 'sulaiman', 'sinergi', 'kementerian', 'pertanian', 'kementan', 'badan', 'usaha', 'milik', 'negara', 'bumn', 'pangan', 'memperkuat', 'ketahanan', 'pangan', 'nasional.dalam', 'pertemuan', 'koordinasi', 'bumn', 'pangan', 'mentan', 'amran', 'menggaris', 'bawahi', 'kolaborasi', 'strategis', 'mengoptimalkan', 'potensi', 'lahan', 'produksi', 'bumn', 'memenuhi', 'kebutuhan', 'pangan', 'negeri', '.', 'membangun', 'kolaborasi', 'menguntungkan', '.', 'pt', 'sang', 'hyang', 'seri', 'memiliki', 'lahan', 'potensial', 'produksi', 'benih', 'padi', 'mencapai', 'ribu', 'ton', 'nilai', 'mencapai', 'rp', 'triliun', '.', 'potensi', 'dioptimalkan', 'kerja', 'mentan', 'amran', 'kantor', 'pusat', 'kementan', 'jakarta', 'selasa', '.lebih', 'mentan', 'amran', 'memperkuat', 'cadangan', 'pangan', 'nasional', 'sinergi', 'bulog', '.', 'langkah', 'bertujuan', 'menjaga', 'stabilitas', 'stok', 'harga', 'meningkatkan', 'kesejahteraan', 'petani', '.', 'bulog', 'memiliki', 'peran', 'menjaga', 'cadangan', 'pangan', '.', 'mekanisme', 'offtaker', 'komoditas', 'strategis', 'padi', 'jagung', 'petani', 'posisi', 'menguntungkan', 'katanya.mentan', 'amran', 'rencana', 'kerja', 'ptpn', 'meningkatkan', 'produksi', 'sawit', 'gula', 'nasional', '.', 'ptpn', 'menciptakan', 'klaster', 'kebun', 'unggul', 'dikelola', 'profesional', 'berteknologi', 'modern', '.', 'ptpn', 'membangun', 'klaster', 'kebun', 'produksi', 'tertinggi', 'peralatan', 'terbaik', 'tenaga', 'kerja', 'terampil', '.', 'laboratorium', 'meningkatkan', 'produksi', 'efisien', 'mentan', 'amran.mentan', 'amran', 'pertemuan', 'langkah', 'lanjutan', 'koordinasi', 'menteri', 'bumn', 'erick', 'thohir', 'minggu', '.', 'pertemuan', 'bumn', 'kesiapannya', 'memperkuat', 'program', 'cetak', 'sawah', 'kementan', 'merauke', 'ketahanan', 'pangan', 'nasional', '.', 'pertemuan', 'langkah', 'operasional', 'hasil', 'diskusi', 'menteri', 'bumn', '.', 'pertemuan', 'rutin', 'memantau', 'langkahlangkah', 'diambil', 'efektif', 'meningkatkan', 'kinerja', 'bumn', 'pangan', 'mentan', 'amran', '.', 'sinergi', 'terbangun', 'kementan', 'bumn', 'pangan', 'mentan', 'amran', 'optimistis', 'citacita', 'presiden', 'prabowo', 'subianto', 'mewujudkan', 'swasembada', 'pangan', 'tercapai.turut', 'hadir', 'pertemuan', 'perwakilan', 'bumn', 'pangan', 'id', 'food', 'pihc', 'bulog', 'ptpn', '.', 'lihat', ':', 'wamentan', 'sudaryono', 'dorong', 'sumber', 'protein', 'alternatif', 'makan', 'bergizi', 'gratis', 'ars']",nasional
"['tom', 'lembong', 'tersangka', 'impor', 'gula', 'intip', 'harta', 'kekayaannya']","['jakarta', 'mantan', 'menteri', 'perdagangan', 'mendag', 'thomas', 'trikasih', 'lembong', 'alias', 'ttl', 'ditahan', 'kejaksaan', 'agung', 'kejagung', 'tersangka', 'dugaan', 'korupsi', 'kegiatan', 'importasi', 'gula', 'kementerian', 'perdagangan', '.', 'pria', 'akrab', 'disapa', 'tom', 'lembong', 'tercatat', 'memiliki', 'kekayaan', 'mencapai', 'rp', '....', 'tercatat', 'laporan', 'harta', 'kekayaan', 'penyelenggara', 'negara', 'lhkpn', 'laporkan', 'april', 'menjabat', 'kepala', 'badan', 'koordinasi', 'penanaman', 'modal', 'bkpm', '.', 'baca', 'profil', 'tom', 'lembong', 'mantan', 'anak', 'buah', 'jokowi', 'tim', 'sukses', 'anies', 'memiliki', 'harta', 'mencapai', 'ratusan', 'miliar', 'thom', 'lembong', 'memiliki', 'tanah', 'bangunan', 'alat', 'transportasi', 'mesin', '.', 'terekam', 'lhkpnnya', '.', 'baca', 'pendidikan', 'tom', 'lembong', 'lulusan', 'harvard', 'tersangka', 'impor', 'gula', 'catatan', 'kekayaan', 'penyelenggara', 'hartanya', 'harta', 'bergerak', 'senilai', 'rp', '..', 'surat', 'berharga', 'rp', '...', 'kas', 'setara', 'kas', 'rp', '...', 'harta', 'rp', '....', 'lhkpn', 'tom', 'lembong', 'memiliki', 'utang', 'rp', '...', 'lihat', ':', 'tom', 'lembong', 'tersangka', 'korupsi', 'impor', 'gula', 'cak', 'imin', ':', 'sedih', 'rca']",nasional
"['gmni', 'kabinet', 'merah', 'putih', 'jalankan', 'program', 'prabowo']","['jakarta', 'gerakan', 'mahasiswa', 'nasional', 'indonesia', 'gmni', 'menaruh', 'harapan', 'tercapainya', 'pembangunan', 'bangsa', 'tangan', 'pemerintahan', 'prabowo', 'subiantogibran', 'rakabuming', 'raka', '.', 'ketua', 'gmni', 'immanuel', 'cahyadi', 'optimistis', 'kabinet', 'merah', 'putih', 'menjalankan', 'programprogram', 'kerjanya', 'rakyat', 'indonesia.kabinet', 'merah', 'putih', 'terbentuk', 'membutuhkan', 'beradaptasi', '.', 'gmni', 'menteri', 'wakil', 'menteri', 'pimpinan', 'kementerian', 'lembaga', 'ekstra', 'cepat', 'beradaptasi', 'memahami', 'tugas', 'pokok', 'fungsinya', 'menjalankan', 'visi', 'misi', 'program', 'presiden', 'prabowo', 'subianto', 'immanuel', 'keterangan', 'tertulis', 'senin', '.', 'baca', 'indonesia', 'gabung', 'brics', 'prabowo', ':', 'manamana', 'immanuel', 'pemerintahan', 'diyakini', 'cepat', 'mengurus', 'kerumitan', 'birokrasi', 'menjalankan', 'programprogram', 'kemaslahatan', 'kepentingan', 'nasional', '.', 'gmni', 'optimistis', 'komposisi', 'kabinet', 'merah', 'putih', 'diisi', 'komponen', 'anakanak', 'bangsa', 'cerdas', 'handal', 'ahli', 'bidangnya', 'keras.gmni', 'menteri', 'wakil', 'kepala', 'badan', 'jajarannya', 'solid', 'bergotongroyong', 'bersatu', 'fokus', 'keras', 'menjalankan', 'program', 'pemerintah', 'imbuhnya.meski', 'gmni', 'berpesan', 'kabinet', 'merah', 'putih', 'rakyat', 'indonesia', 'menaruh', 'harapan', 'menteri', 'tantangan', '.', 'menangani', 'kkn', 'ketidakefisienan', 'birokrasi', 'penegakan', 'hukum', 'kepatuhan', 'pembayaran', 'pajak', 'memperbesar', 'penerimaan', 'negara', 'kemaslahatan', 'rakyat', 'indonesia.menurutnya', 'keras', 'ketidakstabilan', 'kondisi', 'geopolitik', 'mudah', '.', 'kapasitas', 'l', 'karakter', 'kompetensi', 'anakanak', 'bangsa', 'kabinet', 'merah', 'putih', 'gmni', 'tantangan', 'diatasi.komposisi', 'kabinet', 'merah', 'putih', 'mencerminkan', 'persatuan', 'nasional', 'anakanak', 'bangsa', 'jejak', 'rekamnya', 'kenal', 'menyerah', 'memegang', 'teguh', 'disiplin', 'taat', 'pimpinan', 'menjalankan', 'kewajiban', 'penuh', 'tanggung', 'kepentingan', 'nasional', '.', 'pengurus', 'rakyat', 'teladan', 'rakyat', 'sedia', 'berbakti', 'bangsa', 'negara', '.', 'baca', 'sritex', 'dinyatakan', 'pailit', 'ribuan', 'buruh', 'galau', 'khawatir', 'perusahaan', 'ditutup', 'presiden', 'prabowo', 'subianto', 'kabinetnya', 'keras', 'menjalankan', 'programprogram', 'terkait', 'kedaulatan', 'pangan', '.', 'pemberantasan', 'judi', 'online', 'program', 'makanan', 'bergizi', 'gratis', 'industrialisasi', 'nasional', 'hilirisasi', 'komoditas', 'keselamatan', 'kesejahteraan', 'rakyat', 'indonesia', 'terangnya', '.', 'lihat', ':', 'tiru', 'amerika', 'serikat', 'istana', ':', 'ig', 'presiden', 'akun', 'pribadi', 'poe']",nasional
"['bos', 'teknologi', 'berbondongbondong', 'hadiri', 'acara', 'mohammed', 'bin', 'salman', 'arab', 'saudi']","['riyadh', 'arab', 'saudi', 'tuan', 'rumah', 'namanama', 'bidang', 'keuangan', 'teknologi', 'dunia', 'pekan', '.', 'acara', 'tes', 'minat', 'investor', 'ambisi', 'kerajaan', 'mengubah', 'pusat', 'global', 'meluasnya', 'konflik', 'timur', 'tengah.para', 'eksekutif', 'internasional', 'bersaing', 'kawasan', 'diguncang', 'ketegangan', 'geopolitik', 'ancaman', 'konfrontasi', 'militer', 'israel', 'iran', 'tingkat', 'tertinggi', 'dekade', '.', 'mendarat', 'negara', 'menghadapi', 'kenyataan', 'kekayaan', 'minyaknya', 'melimpah', 'memiliki', 'keterbatasan', '.', 'baca', 'arab', 'saudi', 'buka', 'sindalah', 'pulau', 'mewah', 'neom', 'impian', 'pangeran', 'mohammed', 'bin', 'salman', 'future', 'investment', 'initiative', 'fii', 'dijuluki', 'davos', 'padang', 'pasir', 'gentar', 'merasakan', 'peluang', 'pembangunan', 'ekonomi', 'visi', 'senilai', 'triliun', 'dolar', 'milik', 'putra', 'mahkota', 'mohammed', 'bin', 'salman', '.', 'david', 'solomon', 'goldman', 'sachs', 'group', 'inc', 'jane', 'fraser', 'citigroup', 'inc', 'larry', 'fink', 'blackrock', 'inc', 'pengunjung', 'pertemuan', 'puncak', 'riyadh', 'ini.mencerminkan', 'fokus', 'arab', 'saudi', 'teknologi', 'kecerdasan', 'buatan', 'bergabung', 'namanama', 'terkemuka', 'industri', '.', 'presiden', 'alphabet', 'inc', 'ruth', 'porat', 'kepala', 'eksekutif', 'tiktok', 'inc', 'shou', 'chew', 'berbicara', 'pertemuan', 'puncak', 'kalinya', '.', 'benjamin', 'horowitz', 'pengusaha', 'teknologi', 'salah', 'pendiri', 'raksasa', 'modal', 'ventura', 'andreessen', 'horowitz', 'hadir', '.', 'lihat', ':', 'arab', 'saudi', 'bangun', 'gedung', 'pencakar', 'langit', 'kali', 'empire', 'state']",internasional
"['kolonel', 'dimutasi', 'panglima', 'tni', 'oktober', 'namanamanya']","['jakarta', 'perwira', 'menengah', 'pamen', 'tni', 'berpangkat', 'kolonel', 'dimutasi', 'panglima', 'tni', 'pertengahan', 'oktober', '.', 'salah', 'satunya', 'singgih', 'pambudi', 'arinto', 'beralih', 'dosenpatun', 'sesko', 'tni', 'kapoksahli', 'pangdam', 'v', 'brawijaya.mutasi', 'tni', 'berdasarkan', 'surat', 'keputusan', 'panglima', 'tni', 'nomor', 'kepx', 'tanggal', 'oktober', '.', 'ketentuannya', 'perwira', 'tni', 'masuk', 'daftar', 'ketiga', 'matra', 'tni', 'ad', 'tni', 'al', 'tni', 'au.melihat', 'namanama', 'dalamnya', 'berpangkat', 'kolonel', '.', 'baca', 'sosok', 'jenderal', 'bintang', 'bertugas', 'baharkam', 'polri', 'nomor', 'berdarah', 'batak', 'daftar', 'kolonel', 'dimutasi', 'panglima', 'tni', '.', 'kolonel', 'inf', 'singgih', 'pambudi', 'arinto', 's.i.p', '.', 'm.m', '.', 'jabatan', ':', 'dosenpatun', 'sesko', 'tnijabatan', ':', 'kapoksahli', 'pangdam', 'v', 'brw', '.', 'kolonel', 'inf', 'denny', 'marantika', 'jabatan', ':', 'paban', 'virendukgar', 'srenum', 'tnijabatan', ':', 'waasrenum', 'panglima', 'tni', '.', 'kolonel', 'czi', 'lin', 'nofrianto', 'jabatan', ':', 'pamen', 'denmabesadjabatan', ':', 'kapusada', 'tni', '.', 'kolonel', 'inf', 'wimoko', 's.e', '.', 'm.si', '.', 'lihat', ':', 'mutasi', 'tni', 'terbaru', 'jenderal', 'beralih', 'anak', 'buah', 'kepala', 'bin', 'herindra']",nasional
"['kehidupan', 'rakyat', 'iran', 'normal', 'diserang', 'israel']","['teheran', 'kehidupan', 'seharihari', 'berjalan', 'lancar', 'iran', 'pasukan', 'pertahanan', 'udara', 'negara', 'berhasil', 'mencegat', 'agresi', 'israel', 'lokasi', 'militer', 'provinsi', 'teheran', 'ilam', 'khuzestan', 'sabtu.ledakan', 'dilaporkan', 'kota', 'iran', 'jam', 'malam', 'jumat', 'pasukan', 'keamanan', 'iran', 'ledakan', 'disebabkan', 'aktivitas', 'pertahanan', 'udara', 'negara', 'itu.video', 'beredar', 'daring', 'menangkap', 'pertahanan', 'udara', 'iran', 'menargetkan', 'objek', 'musuh', 'wilayah', 'udara', 'provinsi', 'teheran.meskipun', 'media', 'arus', 'utama', 'melaporkan', 'serangan', 'udara', 'israel', 'dibesarbesarkan', 'warga', 'iran', 'minggu', 'biasa.rekaman', 'zona', 'ekonomi', 'khusus', 'pelabuhan', 'imam', 'khomeini', 'khuzestan', 'perusahaan', 'petrokimia', 'bandar', 'imam', 'bipc', 'rusak', 'dampak', 'fasilitas', 'tersebut.di', 'provinsi', 'ilam', 'rekaman', 'video', 'menangkap', 'suasana', 'tenang', 'gangguan.melansir', 'press', 'tv', 'pemandangan', 'teheran', 'penduduk', 'latihan', 'pagi', 'rutin', 'taman', 'laleh', 'terpengaruh', 'klaim', 'israel', 'serangan', 'lokasi', 'militer', 'iran.organisasi', 'penerbangan', 'sipil', 'iran', 'mengumumkan', 'penerbangan', 'dilanjutkan', 'gangguan', 'singkat.rekaman', 'bandara', 'mehrabad', 'teheran', 'barat', 'operasi', 'berjalan', 'normal', 'penumpang', 'bergerak', '.', 'baca', 'takut', 'iran', 'balas', 'dendam', 'as', 'klaim', 'terlibat', 'serangan', 'israel', 'lihat', ':', 'israel', 'menginvasi', 'iran', 'berisiko']",internasional
"['wamentan', 'sudaryono', 'ajak', 'milenial', 'berperan', 'ketahanan', 'pangan', 'nasional', 'era', 'digital']","['jakarta', 'wakil', 'menteri', 'pertanian', 'wamentan', 'sudaryono', 'mengajak', 'generasi', 'milenial', 'aktif', 'menciptakan', 'solusi', 'inovatif', 'sektor', 'pertanian', 'memperkuat', 'ketahanan', 'pangan', 'nasional.wamentan', 'sudaryono', 'akrab', 'disapa', 'mas', 'dar', 'generasi', 'milenial', 'memiliki', 'potensi', 'membawa', 'perubahan', 'pemanfaatan', 'teknologi', 'digital', '.', 'hidup', 'era', 'teknologi', 'informasi', 'komunikasi', 'alat', 'efektif', 'meningkatkan', 'produktivitas', 'pertanian', '.', 'mengajak', 'milenial', 'terlibat', 'program', 'inisiatif', 'mendukung', 'ketahanan', 'pangan', 'nasional', 'wamentan', 'keterangannya', 'jakarta', 'senin', '.wamentan', 'sudaryono', 'menekankan', 'kolaborasi', 'pemerintah', 'pelaku', 'industri', 'generasi', 'muda', '.', 'menurutnya', 'sektor', 'pertanian', 'membutuhkan', 'tenaga', 'kerja', 'inovasi', 'pengelolaan', 'sumber', 'daya', 'pemasaran', 'distribusi', 'produk', '.', 'menciptakan', 'platform', 'digital', 'memfasilitasi', 'interaksi', 'petani', 'konsumen', 'mendukung', 'usaha', 'menengah', 'bidang', 'pertanian', 'tambahnya.melalui', 'semangat', 'kolaboratif', 'pemanfaatan', 'teknologi', 'wamentan', 'optimistis', 'milenial', 'pilar', 'mencapai', 'ketahanan', 'pangan', 'berkelanjutan', 'menghadapi', 'tantangan', 'pangan', 'depan.menurutnya', 'petani', 'indonesia', 'didominasi', 'kalangan', 'orang', 'tua', '.', 'berdasarkan', 'data', 'badan', 'pusat', 'statistik', 'bps', 'persen', 'petani', 'generasi', 'baby', 'boomers', 'berusia', '.', 'petani', 'muda', 'mencapai', 'persen', 'juta', 'orang.minimnya', 'petani', 'muda', 'petani', 'milenial', 'perhatian', 'serius', 'kementerian', 'pertanian', 'pangan', 'indonesia', '.', 'meluncurkan', 'program', 'meningkatkan', 'petani', 'muda.untuk', 'mengatasi', 'permasalahan', 'kementerian', 'pertanian', 'mendorong', 'pertumbuhan', 'petani', 'muda', 'program', 'duta', 'petani', 'milenial', 'dpm', 'juta', '.', 'program', 'duta', 'petani', 'andalan', 'dpa', 'penerapan', 'digitalisasi', 'pertanian', 'pdp', 'penumbuhan', 'wirausaha', 'muda', 'pertanian', 'pwmp', 'program', 'petani', 'magang', 'negeri', 'mas', 'dar', 'anak', 'petani', 'grobogan', 'jawa', 'ini.berdasarkan', 'peraturan', 'menteri', 'pertanian', 'no', '.', 'petani', 'milenial', 'berusia', 'adaptif', 'teknologi', 'digital', '.', 'program', 'bertujuan', 'memulihkan', 'perekonomian', 'masyarakat', 'pertanian', 'menumbuhkan', 'semangat', 'kewirausahaan', 'meningkatkan', 'produksi', 'pangan', 'peternakan', '.', 'lihat', ':', 'cagub', 'sulteng', 'ahmad', 'ali', 'targetkan', 'kantongi', 'ribu', 'suara', 'parigi', 'moutong']",nasional
"['jet', 'siluman', 'f', 'israel', 'dilaporkan', 'mengebom', 'iran', 'serang', 'sistem', 'rudal', 's', 'tentara', 'tewas']","['teheran', 'jetjet', 'tempur', 'siluman', 'f', 'israel', 'dilaporkan', 'mengebom', 'target', 'teheran', 'iran', 'kalinya', 'sabtu', '.', 'baterai', 'sistem', 'rudal', 's', 'pelindung', 'situs', 'nuklir', 'diserang', 'korban', 'tewas', 'bertambah', 'tentara.pengerahan', 'jet', 'tempur', 'f', 'diungkap', 'sumber', 'israel', 'iran', 'international', 'minggu', '.', 'militer', 'zionis', 'merilis', 'video', 'pengerahan', 'jet', 'tempur', 'f', 'f', 'serangan', 'iran.namun', 'staf', 'angkatan', 'bersenjata', 'iran', 'pesawatpesawat', 'israel', 'wilayah', 'udara', 'disediakan', 'militer', 'as', 'irak', 'meluncurkan', 'rudal', 'jarak', 'diluncurkan', 'udara', 'radar', 'perbatasan', 'provinsi', 'ilam', 'khuzestan', 'provinsi', 'teheran.israel', 'melancarkan', 'serangan', 'udara', 'sabtu', 'balasan', 'serangan', 'rudal', 'teheran', 'oktober', 'iran', 'respons', 'pembunuhan', 'israel', 'kepala', 'hamas', 'ismail', 'haniyeh', 'teheran', 'kepala', 'hizbullah', 'hassan', 'nasrallah', 'beirut', 'jenderal', 'korps', 'garda', 'revolusi', 'islam', 'irgc.serangan', 'udara', 'israel', 'menargetkan', 'situs', 'fasilitas', 'militer', 'iran', 'menyusul', 'upaya', 'amerika', 'serikat', 'as', 'bermingguminggu', 'mencegah', 'zionis', 'menargetkan', 'infrastruktur', 'nuklir', 'energi', 'iran', 'upaya', 'menghindari', 'eskalasi', 'konflik', 'wilayah', 'bergejolak', '.', 'baca', 'israel', 'ancam', 'serang', 'iran', 'dahsyat', 'nekat', 'membalas', 'presiden', 'as', 'joe', 'biden', 'sabtu', 'israel', 'menyerang', 'target', 'militer', 'serangannya', 'iran', 'berharap', '.tasnim', 'news', 'melaporkan', 'korban', 'tewas', 'akibat', 'serangan', 'israel', 'bertamah', 'tentara', 'iran', '.', 'perwira', 'unit', 'rudal.empat', 'baterai', 'pertahanan', 'udara', 's', 'lokasi', 'strategis', 'melindungi', 'teheran', 'fasilitas', 'nuklir', 'energi', 'iran', 'diserang', 'tulis', 'axios', 'mengutip', 'sumber', 'israel', 'mengonfirmasi', 'laporan', 'the', 'new', 'york', 'times', 'penargetan', 'israel', 'sistem', 'pertahanan', 'buatan', 'rusia', 'tersebut.laporan', 'planetary', 'mixer', 'komponen', 'program', 'rudal', 'balistik', 'iran', 'diserang', 'serangan', 'udara', 'israel', '.', 'planetary', 'mixer', 'memproduksi', 'bahan', 'bakar', 'padat', 'rudal', 'balistik', 'jarak', 'penghancurannya', 'merusak', 'kemampuan', 'iran', 'memperbarui', 'persediaan', 'rudalnya', 'imbuh', 'laporan', 'axios', '.', 'lihat', ':', 'perbandingan', 'kekuatan', 'militer', 'iran', 'vs', 'indonesia']",internasional
